Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
365-64-0515,Alex,Yangon,Member,Female,Electronic accessories,46.95,5,11.74,246.49,2/12/2019,10:25 AM,Ewallet,234.75,4.76,11.74,7.10
252-56-2699,Alex,Yangon,Member,Female,Food and beverages,43.19,10,21.60,453.50,2/7/2019,4:48 PM,Ewallet,431.90,4.76,21.60,8.20
829-34-3910,Alex,Yangon,Member,Female,Health and beauty,71.38,10,35.69,749.49,3/29/2019,7:21 PM,Cash,713.80,4.76,35.69,5.70
299-46-1805,Cairo,Mandalay,Member,Female,Sports and travel,93.72,6,28.12,590.44,1/15/2019,4:19 PM,Cash,562.32,4.76,28.12,4.50
656-95-9349,Alex,Yangon,Member,Female,Health and beauty,68.93,7,24.13,506.64,3/11/2019,11:03 AM,Credit card,482.51,4.76,24.13,4.60
765-26-6951,Alex,Yangon,Member,Female,Sports and travel,72.61,6,21.78,457.44,1/1/2019,10:39 AM,Credit card,435.66,4.76,21.78,6.90
329-62-1586,Alex,Yangon,Member,Female,Food and beverages,54.67,3,8.20,172.21,1/21/2019,6:00 PM,Credit card,164.01,4.76,8.20,8.60
319-50-3348,Cairo,Mandalay,Member,Female,Home and lifestyle,40.30,2,4.03,84.63,3/11/2019,3:30 PM,Ewallet,80.60,4.76,4.03,4.40
300-71-4605,Giza,Naypyitaw,Member,Female,Electronic accessories,86.04,5,21.51,451.71,2/25/2019,11:24 AM,Ewallet,430.20,4.76,21.51,4.80
371-85-5789,Cairo,Mandalay,Member,Female,Health and beauty,87.98,3,13.20,277.14,3/5/2019,10:40 AM,Ewallet,263.94,4.76,13.20,5.10
273-16-6619,Cairo,Mandalay,Member,Female,Home and lifestyle,33.20,2,3.32,69.72,3/15/2019,12:20 PM,Credit card,66.40,4.76,3.32,4.40
636-48-8204,Alex,Yangon,Member,Female,Electronic accessories,34.56,5,8.64,181.44,2/17/2019,11:15 AM,Ewallet,172.80,4.76,8.64,9.90
549-59-1358,Alex,Yangon,Member,Female,Sports and travel,88.63,3,13.29,279.18,3/2/2019,5:36 PM,Ewallet,265.89,4.76,13.29,6.00
227-03-5010,Alex,Yangon,Member,Female,Home and lifestyle,52.59,8,21.04,441.76,3/22/2019,7:20 PM,Credit card,420.72,4.76,21.04,8.50
649-29-6775,Cairo,Mandalay,Member,Female,Fashion accessories,33.52,1,1.68,35.20,2/8/2019,3:31 PM,Cash,33.52,4.76,1.68,6.70
189-17-4241,Alex,Yangon,Member,Female,Fashion accessories,87.67,2,8.77,184.11,3/10/2019,12:17 PM,Credit card,175.34,4.76,8.77,7.70
145-94-9061,Cairo,Mandalay,Member,Female,Food and beverages,88.36,5,22.09,463.89,1/25/2019,7:48 PM,Cash,441.80,4.76,22.09,9.60
848-62-7243,Alex,Yangon,Member,Female,Health and beauty,24.89,9,11.20,235.21,3/15/2019,3:36 PM,Cash,224.01,4.76,11.20,7.40
871-79-8483,Cairo,Mandalay,Member,Female,Fashion accessories,94.13,5,23.53,494.18,2/25/2019,7:39 PM,Credit card,470.65,4.76,23.53,4.80
149-71-6266,Cairo,Mandalay,Member,Female,Sports and travel,78.07,9,35.13,737.76,1/28/2019,12:43 PM,Cash,702.63,4.76,35.13,4.50
640-49-2076,Cairo,Mandalay,Member,Female,Sports and travel,83.78,8,33.51,703.75,1/10/2019,2:49 PM,Cash,670.24,4.76,33.51,5.10
595-11-5460,Alex,Yangon,Member,Female,Health and beauty,96.58,2,9.66,202.82,3/15/2019,10:12 AM,Credit card,193.16,4.76,9.66,5.10
183-56-6882,Giza,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.88,417.56,2/6/2019,10:42 AM,Ewallet,397.68,4.76,19.88,7.50
232-16-2483,Giza,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.41,71.53,1/7/2019,12:28 PM,Ewallet,68.12,4.76,3.41,6.80
129-29-8530,Alex,Yangon,Member,Female,Sports and travel,62.62,5,15.66,328.76,3/10/2019,7:15 PM,Ewallet,313.10,4.76,15.66,7.00
272-65-1806,Alex,Yangon,Member,Female,Electronic accessories,60.88,9,27.40,575.32,1/15/2019,5:17 PM,Ewallet,547.92,4.76,27.40,4.70
333-73-7901,Giza,Naypyitaw,Member,Female,Health and beauty,54.92,8,21.97,461.33,3/23/2019,1:24 PM,Ewallet,439.36,4.76,21.97,7.60
777-82-7220,Cairo,Mandalay,Member,Female,Home and lifestyle,30.12,8,12.05,253.01,3/3/2019,1:01 PM,Cash,240.96,4.76,12.05,7.70
280-35-5823,Cairo,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.34,91.06,1/17/2019,6:45 PM,Ewallet,86.72,4.76,4.34,7.90
554-53-8700,Giza,Naypyitaw,Member,Female,Home and lifestyle,56.11,2,5.61,117.83,2/2/2019,10:11 AM,Cash,112.22,4.76,5.61,6.30
354-25-5821,Cairo,Mandalay,Member,Female,Sports and travel,69.12,6,20.74,435.46,2/8/2019,1:03 PM,Cash,414.72,4.76,20.74,5.60
228-96-1411,Giza,Naypyitaw,Member,Female,Food and beverages,98.70,8,39.48,829.08,3/4/2019,8:39 PM,Cash,789.60,4.76,39.48,7.60
617-15-4209,Giza,Naypyitaw,Member,Female,Health and beauty,15.37,2,1.54,32.28,3/16/2019,7:47 PM,Cash,30.74,4.76,1.54,7.20
132-32-9879,Cairo,Mandalay,Member,Female,Electronic accessories,93.96,4,18.79,394.63,3/9/2019,6:00 PM,Cash,375.84,4.76,18.79,9.50
370-41-7321,Cairo,Mandalay,Member,Female,Health and beauty,56.69,9,25.51,535.72,2/27/2019,5:24 PM,Credit card,510.21,4.76,25.51,8.40
727-46-3608,Cairo,Mandalay,Member,Female,Food and beverages,20.01,9,9.00,189.09,2/6/2019,3:47 PM,Ewallet,180.09,4.76,9.00,4.10
669-54-1719,Cairo,Mandalay,Member,Female,Electronic accessories,18.93,6,5.68,119.26,2/10/2019,12:45 PM,Credit card,113.58,4.76,5.68,8.10
574-22-5561,Giza,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.32,867.62,3/19/2019,5:08 PM,Ewallet,826.30,4.76,41.32,7.90
326-78-5178,Giza,Naypyitaw,Member,Female,Food and beverages,91.40,7,31.99,671.79,2/3/2019,10:19 AM,Cash,639.80,4.76,31.99,9.50
162-48-8011,Alex,Yangon,Member,Female,Food and beverages,44.59,5,11.15,234.10,2/10/2019,3:10 PM,Cash,222.95,4.76,11.15,8.50
616-24-2851,Cairo,Mandalay,Member,Female,Fashion accessories,17.87,4,3.57,75.05,3/22/2019,2:42 PM,Ewallet,71.48,4.76,3.57,6.50
778-71-5554,Giza,Naypyitaw,Member,Female,Fashion accessories,15.43,1,0.77,16.20,1/25/2019,3:46 PM,Credit card,15.43,4.76,0.77,6.10
242-55-6721,Cairo,Mandalay,Member,Female,Home and lifestyle,16.16,2,1.62,33.94,3/7/2019,11:49 AM,Ewallet,32.32,4.76,1.62,6.50
399-46-5918,Giza,Naypyitaw,Member,Female,Electronic accessories,85.98,8,34.39,722.23,2/28/2019,7:01 PM,Cash,687.84,4.76,34.39,8.20
106-35-6779,Alex,Yangon,Member,Female,Home and lifestyle,44.34,2,4.43,93.11,3/27/2019,11:26 AM,Cash,88.68,4.76,4.43,5.80
635-40-6220,Alex,Yangon,Member,Female,Health and beauty,89.60,8,35.84,752.64,2/7/2019,11:28 AM,Ewallet,716.80,4.76,35.84,6.60
817-48-8732,Alex,Yangon,Member,Female,Home and lifestyle,72.35,10,36.18,759.68,1/20/2019,3:55 PM,Cash,723.50,4.76,36.18,5.40
120-06-4233,Giza,Naypyitaw,Member,Female,Electronic accessories,30.61,6,9.18,192.84,3/12/2019,8:36 PM,Cash,183.66,4.76,9.18,9.30
285-68-5083,Giza,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.71,77.93,2/15/2019,5:47 PM,Credit card,74.22,4.76,3.71,10.00
803-83-5989,Giza,Naypyitaw,Member,Female,Home and lifestyle,55.73,6,16.72,351.10,2/24/2019,10:55 AM,Ewallet,334.38,4.76,16.72,7.00
347-34-2234,Cairo,Mandalay,Member,Female,Sports and travel,55.07,9,24.78,520.41,2/3/2019,1:40 PM,Ewallet,495.63,4.76,24.78,10.00
199-75-8169,Alex,Yangon,Member,Female,Sports and travel,15.81,10,7.91,166.01,3/6/2019,12:27 PM,Credit card,158.10,4.76,7.91,8.60
853-23-2453,Cairo,Mandalay,Member,Female,Health and beauty,75.74,4,15.15,318.11,2/14/2019,2:35 PM,Cash,302.96,4.76,15.15,7.60
877-22-3308,Alex,Yangon,Member,Female,Health and beauty,15.87,10,7.94,166.64,3/13/2019,4:40 PM,Cash,158.70,4.76,7.94,5.80
838-78-4295,Giza,Naypyitaw,Member,Female,Health and beauty,33.47,2,3.35,70.29,2/10/2019,3:43 PM,Ewallet,66.94,4.76,3.35,6.70
109-28-2512,Cairo,Mandalay,Member,Female,Fashion accessories,97.61,6,29.28,614.94,1/7/2019,3:01 PM,Ewallet,585.66,4.76,29.28,9.90
232-11-3025,Alex,Yangon,Member,Female,Sports and travel,78.77,10,39.39,827.09,1/24/2019,10:04 AM,Cash,787.70,4.76,39.39,6.40
382-03-4532,Alex,Yangon,Member,Female,Health and beauty,18.33,1,0.92,19.25,2/2/2019,6:50 PM,Cash,18.33,4.76,0.92,4.30
393-65-2792,Giza,Naypyitaw,Member,Female,Food and beverages,89.48,10,44.74,939.54,1/6/2019,12:46 PM,Credit card,894.80,4.76,44.74,9.60
796-12-2025,Giza,Naypyitaw,Member,Female,Fashion accessories,62.12,10,31.06,652.26,2/11/2019,4:19 PM,Cash,621.20,4.76,31.06,5.90
510-95-6347,Cairo,Mandalay,Member,Female,Food and beverages,48.52,3,7.28,152.84,3/5/2019,6:17 PM,Ewallet,145.56,4.76,7.28,4.00
841-35-6630,Giza,Naypyitaw,Member,Female,Electronic accessories,75.91,6,22.77,478.23,3/9/2019,6:21 PM,Cash,455.46,4.76,22.77,8.70
287-21-9091,Alex,Yangon,Member,Female,Home and lifestyle,74.67,9,33.60,705.63,1/22/2019,10:55 AM,Ewallet,672.03,4.76,33.60,9.40
732-94-0499,Giza,Naypyitaw,Member,Female,Electronic accessories,41.65,10,20.83,437.33,1/13/2019,5:04 PM,Credit card,416.50,4.76,20.83,5.40
263-10-3913,Giza,Naypyitaw,Member,Female,Fashion accessories,49.04,9,22.07,463.43,1/9/2019,2:20 PM,Credit card,441.36,4.76,22.07,8.60
381-20-0914,Alex,Yangon,Member,Female,Fashion accessories,20.01,9,9.00,189.09,1/12/2019,3:48 PM,Credit card,180.09,4.76,9.00,5.70
829-49-1914,Giza,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.16,822.26,3/5/2019,4:24 PM,Ewallet,783.10,4.76,39.16,6.60
756-01-7507,Giza,Naypyitaw,Member,Female,Health and beauty,20.38,5,5.10,107.00,1/22/2019,6:56 PM,Cash,101.90,4.76,5.10,6.00
870-72-4431,Giza,Naypyitaw,Member,Female,Health and beauty,99.19,6,29.76,624.90,1/21/2019,2:42 PM,Credit card,595.14,4.76,29.76,5.50
847-38-7188,Cairo,Mandalay,Member,Female,Food and beverages,96.68,3,14.50,304.54,1/26/2019,7:56 PM,Ewallet,290.04,4.76,14.50,6.40
480-63-2856,Giza,Naypyitaw,Member,Female,Food and beverages,19.25,8,7.70,161.70,1/23/2019,6:37 PM,Ewallet,154.00,4.76,7.70,6.60
787-56-0757,Giza,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.07,337.51,2/23/2019,6:45 PM,Credit card,321.44,4.76,16.07,8.30
360-39-5055,Giza,Naypyitaw,Member,Female,Sports and travel,48.91,5,12.23,256.78,3/9/2019,10:17 AM,Cash,244.55,4.76,12.23,6.60
730-50-9884,Giza,Naypyitaw,Member,Female,Sports and travel,83.06,7,29.07,610.49,3/5/2019,2:31 PM,Ewallet,581.42,4.76,29.07,4.00
362-58-8315,Giza,Naypyitaw,Member,Female,Fashion accessories,76.52,5,19.13,401.73,3/25/2019,10:23 AM,Cash,382.60,4.76,19.13,9.90
633-44-8566,Alex,Yangon,Member,Female,Food and beverages,49.38,7,17.28,362.94,3/27/2019,8:35 PM,Credit card,345.66,4.76,17.28,7.30
504-35-8843,Alex,Yangon,Member,Female,Sports and travel,42.47,1,2.12,44.59,1/2/2019,4:57 PM,Cash,42.47,4.76,2.12,5.70
318-68-5053,Cairo,Mandalay,Member,Female,Health and beauty,76.99,6,23.10,485.04,2/27/2019,5:55 PM,Cash,461.94,4.76,23.10,6.10
565-80-5980,Giza,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.48,199.00,1/23/2019,10:25 AM,Cash,189.52,4.76,9.48,7.10
225-32-0908,Giza,Naypyitaw,Member,Female,Sports and travel,44.86,10,22.43,471.03,1/26/2019,7:54 PM,Ewallet,448.60,4.76,22.43,8.20
873-51-0671,Alex,Yangon,Member,Female,Sports and travel,21.98,7,7.69,161.55,1/10/2019,4:42 PM,Ewallet,153.86,4.76,7.69,5.10
152-08-9985,Cairo,Mandalay,Member,Female,Health and beauty,64.36,9,28.96,608.20,3/12/2019,12:09 PM,Credit card,579.24,4.76,28.96,8.60
512-91-0811,Giza,Naypyitaw,Member,Female,Health and beauty,89.75,1,4.49,94.24,2/6/2019,8:05 PM,Credit card,89.75,4.76,4.49,6.60
594-34-4444,Alex,Yangon,Member,Female,Electronic accessories,97.16,1,4.86,102.02,3/8/2019,8:38 PM,Ewallet,97.16,4.76,4.86,7.20
766-85-7061,Cairo,Mandalay,Member,Female,Health and beauty,87.87,10,43.94,922.64,3/29/2019,10:25 AM,Ewallet,878.70,4.76,43.94,5.10
871-39-9221,Giza,Naypyitaw,Member,Female,Electronic accessories,12.45,6,3.74,78.44,2/9/2019,1:11 PM,Cash,74.70,4.76,3.74,4.10
865-92-6136,Alex,Yangon,Member,Female,Food and beverages,52.75,3,7.91,166.16,3/23/2019,10:16 AM,Ewallet,158.25,4.76,7.91,9.30
733-01-9107,Cairo,Mandalay,Member,Female,Home and lifestyle,82.70,6,24.81,521.01,3/5/2019,6:14 PM,Cash,496.20,4.76,24.81,7.40
163-56-7055,Giza,Naypyitaw,Member,Female,Fashion accessories,48.71,1,2.44,51.15,3/26/2019,7:20 PM,Cash,48.71,4.76,2.44,4.10
189-98-2939,Giza,Naypyitaw,Member,Female,Fashion accessories,78.55,9,35.35,742.30,3/1/2019,1:22 PM,Cash,706.95,4.76,35.35,7.20
551-21-3069,Giza,Naypyitaw,Member,Female,Electronic accessories,23.07,9,10.38,218.01,2/1/2019,11:27 AM,Cash,207.63,4.76,10.38,4.90
212-62-1842,Alex,Yangon,Member,Female,Food and beverages,58.26,6,17.48,367.04,3/28/2019,4:44 PM,Cash,349.56,4.76,17.48,9.90
716-39-1409,Cairo,Mandalay,Member,Female,Health and beauty,30.35,7,10.62,223.07,3/19/2019,6:19 PM,Cash,212.45,4.76,10.62,8.00
704-48-3927,Alex,Yangon,Member,Female,Electronic accessories,88.67,10,44.34,931.04,1/12/2019,2:50 PM,Ewallet,886.70,4.76,44.34,7.30
628-34-3388,Giza,Naypyitaw,Member,Female,Fashion accessories,27.38,6,8.21,172.49,1/5/2019,8:54 PM,Credit card,164.28,4.76,8.21,7.90
630-74-5166,Alex,Yangon,Member,Female,Sports and travel,62.13,6,18.64,391.42,3/22/2019,8:19 PM,Cash,372.78,4.76,18.64,7.40
588-01-7461,Giza,Naypyitaw,Member,Female,Food and beverages,33.98,9,15.29,321.11,3/24/2019,10:43 AM,Cash,305.82,4.76,15.29,4.20
861-77-0145,Giza,Naypyitaw,Member,Female,Electronic accessories,81.97,10,40.99,860.69,3/3/2019,2:30 PM,Cash,819.70,4.76,40.99,9.20
479-26-8945,Cairo,Mandalay,Member,Female,Sports and travel,16.49,2,1.65,34.63,2/5/2019,11:32 AM,Ewallet,32.98,4.76,1.65,4.60
210-67-5886,Giza,Naypyitaw,Member,Female,Health and beauty,98.21,3,14.73,309.36,2/5/2019,10:41 AM,Credit card,294.63,4.76,14.73,7.80
227-78-1148,Cairo,Mandalay,Member,Female,Fashion accessories,72.84,7,25.49,535.37,2/15/2019,12:44 PM,Cash,509.88,4.76,25.49,8.40
645-44-1170,Alex,Yangon,Member,Female,Home and lifestyle,58.07,9,26.13,548.76,1/19/2019,8:07 PM,Ewallet,522.63,4.76,26.13,4.30
237-01-6122,Giza,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.36,763.47,2/1/2019,8:31 PM,Credit card,727.11,4.76,36.36,9.50
225-98-1496,Giza,Naypyitaw,Member,Female,Fashion accessories,27.02,3,4.05,85.11,3/2/2019,1:01 PM,Credit card,81.06,4.76,4.05,7.10
291-32-1427,Cairo,Mandalay,Member,Female,Fashion accessories,21.94,5,5.49,115.19,3/5/2019,12:29 PM,Ewallet,109.70,4.76,5.49,5.30
659-65-8956,Cairo,Mandalay,Member,Female,Fashion accessories,51.36,1,2.57,53.93,1/16/2019,3:26 PM,Ewallet,51.36,4.76,2.57,5.20
642-32-2990,Alex,Yangon,Member,Female,Food and beverages,10.96,10,5.48,115.08,2/2/2019,8:48 PM,Ewallet,109.60,4.76,5.48,6.00
378-24-2715,Cairo,Mandalay,Member,Female,Home and lifestyle,53.44,2,5.34,112.22,1/20/2019,8:38 PM,Ewallet,106.88,4.76,5.34,4.10
638-60-7125,Alex,Yangon,Member,Female,Electronic accessories,99.56,8,39.82,836.30,2/14/2019,5:03 PM,Credit card,796.48,4.76,39.82,5.20
659-36-1684,Giza,Naypyitaw,Member,Female,Sports and travel,57.12,7,19.99,419.83,1/12/2019,12:02 PM,Credit card,399.84,4.76,19.99,6.50
219-22-9386,Cairo,Mandalay,Member,Female,Sports and travel,99.96,9,44.98,944.62,3/9/2019,5:26 PM,Credit card,899.64,4.76,44.98,4.20
336-78-2147,Giza,Naypyitaw,Member,Female,Home and lifestyle,63.91,8,25.56,536.84,3/13/2019,7:52 PM,Credit card,511.28,4.76,25.56,4.60
268-27-6179,Cairo,Mandalay,Member,Female,Fashion accessories,56.47,8,22.59,474.35,3/9/2019,2:57 PM,Ewallet,451.76,4.76,22.59,7.30
668-90-8900,Alex,Yangon,Member,Female,Home and lifestyle,93.69,7,32.79,688.62,3/10/2019,6:44 PM,Credit card,655.83,4.76,32.79,4.50
870-54-3162,Alex,Yangon,Member,Female,Sports and travel,32.25,5,8.06,169.31,1/27/2019,1:26 PM,Cash,161.25,4.76,8.06,9.00
189-08-9157,Giza,Naypyitaw,Member,Female,Fashion accessories,31.73,9,14.28,299.85,1/8/2019,4:17 PM,Credit card,285.57,4.76,14.28,5.90
663-86-9076,Giza,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.42,575.74,1/8/2019,3:57 PM,Ewallet,548.32,4.76,27.42,8.50
549-84-7482,Cairo,Mandalay,Member,Female,Sports and travel,90.28,9,40.63,853.15,2/8/2019,11:15 AM,Ewallet,812.52,4.76,40.63,7.20
191-10-6171,Cairo,Mandalay,Normal,Female,Fashion accessories,39.62,7,13.87,291.21,1/25/2019,1:18 PM,Cash,277.34,4.76,13.87,7.50
802-70-5316,Alex,Yangon,Member,Female,Sports and travel,92.13,6,27.64,580.42,3/6/2019,8:34 PM,Cash,552.78,4.76,27.64,8.30
695-51-0018,Cairo,Mandalay,Normal,Female,Sports and travel,34.84,4,6.97,146.33,2/10/2019,6:36 PM,Cash,139.36,4.76,6.97,7.40
590-83-4591,Cairo,Mandalay,Member,Female,Electronic accessories,87.45,6,26.24,550.94,2/17/2019,2:40 PM,Credit card,524.70,4.76,26.24,8.80
483-71-1164,Giza,Naypyitaw,Normal,Female,Health and beauty,81.30,6,24.39,512.19,3/8/2019,4:43 PM,Ewallet,487.80,4.76,24.39,5.30
597-78-7908,Giza,Naypyitaw,Normal,Female,Fashion accessories,90.22,3,13.53,284.19,2/18/2019,7:39 PM,Cash,270.66,4.76,13.53,6.20
700-81-1757,Alex,Yangon,Normal,Female,Electronic accessories,26.31,5,6.58,138.13,1/18/2019,8:59 PM,Credit card,131.55,4.76,6.58,8.80
354-39-5160,Alex,Yangon,Member,Female,Home and lifestyle,34.42,6,10.33,216.85,2/18/2019,3:39 PM,Cash,206.52,4.76,10.33,9.80
241-72-9525,Cairo,Mandalay,Normal,Female,Sports and travel,51.91,10,25.96,545.06,2/16/2019,12:21 PM,Cash,519.10,4.76,25.96,8.20
575-30-8091,Alex,Yangon,Normal,Female,Sports and travel,72.50,8,29.00,609.00,3/16/2019,7:25 PM,Ewallet,580.00,4.76,29.00,9.20
731-81-9469,Giza,Naypyitaw,Member,Female,Sports and travel,89.80,10,44.90,942.90,1/23/2019,1:00 PM,Credit card,898.00,4.76,44.90,5.40
280-17-4359,Giza,Naypyitaw,Member,Male,Health and beauty,90.50,10,45.25,950.25,1/25/2019,1:48 PM,Cash,905.00,4.76,45.25,8.10
338-65-2210,Giza,Naypyitaw,Member,Female,Health and beauty,68.60,10,34.30,720.30,2/5/2019,7:57 PM,Cash,686.00,4.76,34.30,9.10
488-25-4221,Giza,Naypyitaw,Member,Female,Food and beverages,30.41,1,1.52,31.93,2/22/2019,10:36 AM,Credit card,30.41,4.76,1.52,8.40
239-10-7476,Alex,Yangon,Normal,Female,Home and lifestyle,77.95,6,23.39,491.09,1/21/2019,4:37 PM,Ewallet,467.70,4.76,23.39,8.00
458-41-1477,Giza,Naypyitaw,Normal,Female,Health and beauty,46.26,6,13.88,291.44,3/8/2019,5:11 PM,Credit card,277.56,4.76,13.88,9.50
685-64-1609,Alex,Yangon,Member,Female,Fashion accessories,30.14,10,15.07,316.47,2/10/2019,12:28 PM,Ewallet,301.40,4.76,15.07,9.20
568-90-5112,Giza,Naypyitaw,Normal,Male,Health and beauty,66.14,4,13.23,277.79,3/19/2019,12:46 PM,Credit card,264.56,4.76,13.23,5.60
262-47-2794,Cairo,Mandalay,Member,Male,Home and lifestyle,71.86,8,28.74,603.62,3/6/2019,3:07 PM,Credit card,574.88,4.76,28.74,6.20
238-49-0436,Alex,Yangon,Normal,Male,Health and beauty,32.46,8,12.98,272.66,3/27/2019,1:48 PM,Credit card,259.68,4.76,12.98,4.90
608-96-3517,Cairo,Mandalay,Member,Female,Fashion accessories,91.54,4,18.31,384.47,3/23/2019,7:20 PM,Credit card,366.16,4.76,18.31,4.80
584-86-7256,Giza,Naypyitaw,Member,Male,Sports and travel,34.56,7,12.10,254.02,3/11/2019,4:07 PM,Credit card,241.92,4.76,12.10,7.30
746-94-0204,Alex,Yangon,Normal,Male,Fashion accessories,83.24,9,37.46,786.62,1/29/2019,11:56 AM,Credit card,749.16,4.76,37.46,7.40
214-17-6927,Giza,Naypyitaw,Normal,Female,Food and beverages,16.48,6,4.94,103.82,2/7/2019,6:23 PM,Ewallet,98.88,4.76,4.94,9.90
400-89-4171,Giza,Naypyitaw,Normal,Female,Sports and travel,80.97,8,32.39,680.15,1/28/2019,1:05 PM,Cash,647.76,4.76,32.39,9.30
782-95-9291,Alex,Yangon,Member,Male,Food and beverages,92.29,5,23.07,484.52,2/20/2019,3:55 PM,Credit card,461.45,4.76,23.07,9.00
279-74-2924,Cairo,Mandalay,Member,Male,Electronic accessories,72.17,1,3.61,75.78,1/4/2019,7:40 PM,Cash,72.17,4.76,3.61,6.10
307-85-2293,Cairo,Mandalay,Normal,Male,Home and lifestyle,50.28,5,12.57,263.97,3/7/2019,1:58 PM,Ewallet,251.40,4.76,12.57,9.70
743-04-1105,Cairo,Mandalay,Member,Male,Health and beauty,97.22,9,43.75,918.73,3/30/2019,2:43 PM,Ewallet,874.98,4.76,43.75,6.00
423-57-2993,Cairo,Mandalay,Normal,Male,Sports and travel,93.39,6,28.02,588.36,3/27/2019,7:18 PM,Ewallet,560.34,4.76,28.02,10.00
894-41-5205,Giza,Naypyitaw,Normal,Female,Food and beverages,43.18,8,17.27,362.71,1/19/2019,7:39 PM,Credit card,345.44,4.76,17.27,8.30
275-28-0149,Alex,Yangon,Normal,Male,Sports and travel,63.69,1,3.18,66.87,2/25/2019,4:21 PM,Cash,63.69,4.76,3.18,6.00
101-17-6199,Alex,Yangon,Normal,Male,Food and beverages,45.79,7,16.03,336.56,3/13/2019,7:44 PM,Credit card,320.53,4.76,16.03,7.00
423-80-0988,Giza,Naypyitaw,Normal,Male,Sports and travel,76.40,2,7.64,160.44,1/30/2019,7:42 PM,Ewallet,152.80,4.76,7.64,6.50
548-46-9322,Cairo,Mandalay,Normal,Male,Food and beverages,39.90,10,19.95,418.95,2/20/2019,3:24 PM,Credit card,399.00,4.76,19.95,5.90
505-02-0892,Cairo,Mandalay,Member,Male,Health and beauty,42.57,8,17.03,357.59,2/25/2019,2:12 PM,Ewallet,340.56,4.76,17.03,5.60
234-65-2137,Giza,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,47.79,1003.59,1/16/2019,1:32 PM,Cash,955.80,4.76,47.79,4.80
687-47-8271,Alex,Yangon,Normal,Male,Fashion accessories,98.98,10,49.49,1039.29,2/8/2019,4:20 PM,Credit card,989.80,4.76,49.49,8.70
796-32-9050,Alex,Yangon,Normal,Male,Food and beverages,51.28,6,15.38,323.06,1/19/2019,4:31 PM,Cash,307.68,4.76,15.38,6.50
105-31-1824,Alex,Yangon,Member,Male,Sports and travel,69.52,7,24.33,510.97,2/1/2019,3:10 PM,Credit card,486.64,4.76,24.33,8.50
249-42-3782,Alex,Yangon,Normal,Male,Health and beauty,70.01,5,17.50,367.55,1/3/2019,11:36 AM,Ewallet,350.05,4.76,17.50,5.50
316-55-4634,Cairo,Mandalay,Member,Male,Food and beverages,80.05,5,20.01,420.26,1/26/2019,12:45 PM,Credit card,400.25,4.76,20.01,9.40
